transaction_id,customer_id,timestamp,amount,merchant_category,location,is_fraud
TXN_006253,CUST_6287,2026-01-08 00:46:29.388199,5641.37,Healthcare,Chennai,0
TXN_004685,CUST_6243,2025-12-29 05:17:29.371933,143.01,Transportation,Pune,0
TXN_001732,CUST_8240,2025-12-15 07:21:29.348759,284.49,Healthcare,Delhi,0
TXN_004743,CUST_3952,2025-12-30 23:52:29.371933,404.08,Banking,Delhi,0
TXN_004522,CUST_1196,2025-12-18 15:07:29.371933,1181.26,Education,Bangalore,0
TXN_006341,CUST_1471,2025-12-31 04:45:29.388199,159.83,Healthcare,Surat,0
TXN_000577,CUST_8389,2026-01-01 23:37:29.339556,510.61,Transportation,Mumbai,0
TXN_005203,CUST_2677,2026-01-07 02:41:29.371933,468.46,Utilities,Pune,0
TXN_006364,CUST_2595,2025-12-26 03:42:29.388199,798.88,Utilities,Kolkata,0
TXN_000440,CUST_4050,2025-12-14 21:03:29.339556,381.63,Entertainment,Surat,0
TXN_002751,CUST_5241,2026-01-10 05:19:29.348759,2334.32,Transportation,Jaipur,0
TXN_007488,CUST_2739,2025-12-15 19:46:29.398724,639.75,Grocery,Kolkata,0
TXN_005273,CUST_8009,2026-01-09 16:24:29.371933,121.54,Utilities,Chennai,0
TXN_005654,CUST_9962,2025-12-27 17:52:29.382615,1246.68,Healthcare,Ahmedabad,0
TXN_004000,CUST_7653,2026-01-05 17:05:29.365824,578.62,Utilities,Pune,0
TXN_006034,CUST_5600,2025-12-18 02:15:29.382615,165.55,Entertainment,Jaipur,0
TXN_000583,CUST_9369,2025-12-17 15:49:29.339556,759.59,Entertainment,Jaipur,0
TXN_009931,CUST_3108,2025-12-24 00:51:29.420309,1034.52,Entertainment,Delhi,1
TXN_007052,CUST_9126,2025-12-25 14:17:29.396226,601.24,Transportation,Hyderabad,0
TXN_008159,CUST_1152,2026-01-08 00:14:29.398724,623.87,Banking,Ahmedabad,0
TXN_009897,CUST_1617,2025-12-13 22:33:29.420309,1532.81,Entertainment,Mumbai,1
TXN_002250,CUST_4941,2025-12-14 11:53:29.348759,1013.99,Entertainment,Mumbai,0
TXN_004641,CUST_1866,2025-12-15 03:52:29.371933,910.49,Grocery,Chennai,0
TXN_009486,CUST_8130,2025-12-19 02:25:29.420309,1473.22,Entertainment,Surat,0
TXN_004948,CUST_5657,2026-01-06 15:46:29.371933,106.21,Utilities,Kolkata,0
TXN_009921,CUST_3311,2025-12-15 02:54:29.420309,636.24,Entertainment,Bangalore,1
TXN_001964,CUST_7554,2025-12-27 23:58:29.348759,769.1,Healthcare,Bangalore,0
TXN_008244,CUST_9996,2025-12-16 23:52:29.398724,1538.54,Grocery,Surat,0
TXN_006591,CUST_5628,2025-12-14 05:39:29.388199,325.13,Utilities,Hyderabad,0
TXN_008848,CUST_2522,2026-01-07 10:17:29.412145,455.53,Online Shopping,Delhi,0
TXN_000322,CUST_2374,2026-01-07 02:59:29.339556,731.54,Education,Jaipur,0
TXN_002679,CUST_6942,2026-01-05 07:01:29.348759,443.79,Online Shopping,Surat,0
TXN_004626,CUST_6847,2025-12-22 16:32:29.371933,1424.42,Online Shopping,Mumbai,0
TXN_004950,CUST_6265,2025-12-18 18:35:29.371933,622.97,Telecom,Ahmedabad,0
TXN_008329,CUST_9221,2025-12-25 06:03:29.398724,426.88,Transportation,Kolkata,0
TXN_003338,CUST_2415,2025-12-16 02:51:29.365824,347.59,Transportation,Bangalore,0
TXN_005590,CUST_7176,2026-01-07 22:02:29.382615,1882.44,Restaurant,Surat,0
TXN_000252,CUST_5505,2026-01-02 18:19:29.339556,1010.16,Telecom,Pune,0
TXN_003974,CUST_9550,2025-12-28 11:19:29.365824,439.97,Telecom,Surat,0
TXN_006631,CUST_4820,2026-01-03 12:10:29.388199,84.09,Entertainment,Bangalore,0
TXN_005548,CUST_8847,2026-01-07 10:09:29.382615,644.82,Banking,Jaipur,0
TXN_000036,CUST_7537,2026-01-04 18:05:29.339556,119.0,Education,Jaipur,0
TXN_008363,CUST_2189,2025-12-14 11:06:29.398724,107.38,Education,Jaipur,0
TXN_001514,CUST_9941,2025-12-27 13:25:29.348759,62.39,Utilities,Kolkata,0
TXN_009318,CUST_7754,2026-01-11 10:47:29.415493,148.82,Grocery,Chennai,0
TXN_000040,CUST_2104,2026-01-10 23:37:29.339556,491.2,Transportation,Delhi,0
TXN_004820,CUST_7848,2026-01-08 23:12:29.371933,305.06,Healthcare,Bangalore,0
TXN_003466,CUST_9615,2025-12-19 01:46:29.365824,105.98,Grocery,Kolkata,0
TXN_001761,CUST_7056,2026-01-08 09:24:29.348759,2079.67,Online Shopping,Jaipur,0
TXN_002305,CUST_5806,2025-12-15 09:50:29.348759,2968.07,Healthcare,Mumbai,0
TXN_003724,CUST_5939,2026-01-07 13:48:29.365824,67.6,Online Shopping,Kolkata,0
TXN_008285,CUST_4970,2025-12-30 03:38:29.398724,147.81,Grocery,Ahmedabad,0
TXN_004994,CUST_8674,2025-12-23 06:36:29.371933,711.07,Grocery,Jaipur,0
TXN_008128,CUST_1791,2026-01-06 03:25:29.398724,156.57,Restaurant,Mumbai,0
TXN_003033,CUST_4883,2026-01-09 05:13:29.348759,634.93,Banking,Ahmedabad,0
TXN_007939,CUST_5453,2025-12-22 17:39:29.398724,1799.85,Entertainment,Mumbai,0
TXN_003040,CUST_3394,2026-01-08 06:02:29.348759,328.12,Education,Pune,0
TXN_009656,CUST_8566,2026-01-02 03:18:29.420309,1487.66,Healthcare,Bangalore,0
TXN_002546,CUST_6085,2025-12-24 01:40:29.348759,622.01,Transportation,Kolkata,0
TXN_002593,CUST_8820,2025-12-19 08:48:29.348759,386.52,Education,Jaipur,0
TXN_001189,CUST_2111,2025-12-23 07:14:29.348759,699.28,Telecom,Pune,0
TXN_007967,CUST_4889,2026-01-04 21:28:29.398724,1130.31,Telecom,Mumbai,0
TXN_006078,CUST_2560,2025-12-26 15:03:29.382615,164.77,Transportation,Ahmedabad,0
TXN_000108,CUST_8939,2026-01-03 04:59:29.339556,480.38,Education,Delhi,0
TXN_001316,CUST_3822,2026-01-02 23:39:29.348759,108.65,Entertainment,Delhi,0
TXN_008188,CUST_4356,2025-12-26 16:38:29.398724,759.16,Online Shopping,Bangalore,0
TXN_002754,CUST_2653,2025-12-14 15:20:29.348759,346.94,Grocery,Bangalore,0
TXN_009754,CUST_1832,2026-01-01 09:42:29.420309,564.86,Grocery,Hyderabad,0
TXN_006232,CUST_7526,2025-12-22 14:13:29.388199,280.46,Banking,Bangalore,0
TXN_002877,CUST_7778,2026-01-06 03:28:29.348759,158.14,Utilities,Chennai,0
TXN_005324,CUST_5879,2026-01-08 12:07:29.371933,497.85,Online Shopping,Pune,0
TXN_000800,CUST_2718,2025-12-30 21:21:29.339556,415.61,Restaurant,Kolkata,0
TXN_003571,CUST_9741,2025-12-21 23:54:29.365824,299.62,Utilities,Chennai,0
TXN_002895,CUST_3543,2026-01-02 08:11:29.348759,670.66,Telecom,Hyderabad,0
TXN_002928,CUST_8142,2026-01-02 09:10:29.348759,500.05,Online Shopping,Ahmedabad,0
TXN_008179,CUST_4589,2025-12-20 16:03:29.398724,860.09,Healthcare,Chennai,0
TXN_000972,CUST_9243,2025-12-23 07:49:29.339556,204.17,Telecom,Kolkata,0
TXN_006688,CUST_8277,2025-12-22 06:03:29.388199,159.91,Grocery,Surat,0
TXN_008576,CUST_1570,2025-12-21 20:06:29.398724,605.36,Utilities,Jaipur,0
TXN_002021,CUST_1834,2025-12-26 11:15:29.348759,428.35,Entertainment,Chennai,0
TXN_009055,CUST_5360,2026-01-12 07:15:29.415493,70.49,Banking,Kolkata,0
TXN_000953,CUST_5514,2026-01-04 10:30:29.339556,115.41,Utilities,Hyderabad,0
TXN_005360,CUST_4491,2025-12-27 13:36:29.371933,306.48,Telecom,Pune,0
TXN_003858,CUST_7626,2026-01-11 10:32:29.365824,728.76,Online Shopping,Bangalore,0
TXN_005862,CUST_7694,2026-01-05 01:11:29.382615,1377.51,Grocery,Hyderabad,0
TXN_003146,CUST_8776,2025-12-26 14:40:29.363580,645.51,Utilities,Bangalore,0
TXN_003306,CUST_4014,2025-12-14 02:58:29.365824,1166.04,Healthcare,Delhi,0
TXN_003007,CUST_9092,2025-12-25 20:45:29.348759,655.92,Banking,Hyderabad,0
TXN_009002,CUST_1264,2025-12-26 11:08:29.414153,1180.17,Education,Mumbai,0
TXN_007771,CUST_8694,2025-12-20 08:31:29.398724,983.72,Education,Delhi,0
TXN_007439,CUST_2114,2026-01-01 06:36:29.398724,88.78,Banking,Mumbai,0
TXN_007943,CUST_9851,2025-12-21 20:23:29.398724,95.21,Utilities,Delhi,0
TXN_009239,CUST_5231,2026-01-02 22:59:29.415493,174.45,Transportation,Delhi,0
TXN_001057,CUST_8187,2026-01-06 03:43:29.347670,393.25,Healthcare,Pune,0
TXN_003155,CUST_4498,2025-12-20 19:12:29.363580,142.8,Education,Ahmedabad,0
TXN_003788,CUST_7051,2026-01-04 20:30:29.365824,166.46,Banking,Surat,0
TXN_009190,CUST_2922,2025-12-22 03:42:29.415493,2018.87,Banking,Bangalore,0
TXN_007826,CUST_9569,2025-12-29 08:05:29.398724,1294.13,Online Shopping,Kolkata,0
TXN_007540,CUST_3590,2025-12-14 02:02:29.398724,295.62,Utilities,Kolkata,0
TXN_007232,CUST_5647,2026-01-08 23:45:29.398724,2181.02,Restaurant,Mumbai,0
TXN_000765,CUST_6509,2025-12-22 18:02:29.339556,1273.18,Entertainment,Kolkata,0
TXN_005020,CUST_2977,2025-12-14 04:19:29.371933,600.73,Grocery,Surat,0
TXN_004904,CUST_9627,2025-12-23 22:24:29.371933,277.75,Grocery,Ahmedabad,0
TXN_008094,CUST_5681,2026-01-12 01:15:29.398724,247.26,Grocery,Bangalore,0
TXN_006844,CUST_8669,2025-12-24 17:28:29.388199,172.28,Grocery,Surat,0
TXN_002166,CUST_8018,2025-12-25 03:17:29.348759,146.19,Banking,Bangalore,0
TXN_001863,CUST_8712,2025-12-28 11:14:29.348759,892.02,Banking,Hyderabad,0
TXN_007851,CUST_5717,2025-12-20 20:50:29.398724,2988.2,Healthcare,Bangalore,0
TXN_009124,CUST_5397,2026-01-10 16:47:29.415493,409.16,Online Shopping,Jaipur,0
TXN_002341,CUST_4272,2025-12-20 06:13:29.348759,811.45,Education,Kolkata,0
