transaction_id,customer_id,timestamp,amount,merchant_category,location,is_fraud,hour_of_day,day_of_week,is_weekend,is_night,amount_log,is_high_amount,customer_avg_amount,customer_std_amount,customer_transaction_count,amount_deviation,category_risk,location_risk,combined_risk,transactions_last_hour,amount_last_hour
TXN_006253,CUST_6287,2026-01-08 00:46:29.388199,5641.37,Healthcare,Chennai,0,0,3,0,1,8.638059468993404,1,3058.94,3652.107529879152,2,0.7069132180966567,0.2,0.5,0.6100000000000001,0.08333333333333333,254.91166666666666
TXN_004685,CUST_6243,2025-12-29 05:17:29.371933,143.01,Transportation,Pune,0,5,0,0,1,4.969882741609291,0,146.095,4.36284883992101,2,-0.5752539540244523,0.3,0.4,0.41000000000000003,0.08333333333333333,12.174583333333333
TXN_001732,CUST_8240,2025-12-15 07:21:29.348759,284.49,Healthcare,Delhi,0,7,0,0,0,5.654207002212929,0,304.7125,188.1390456329219,4,-0.10691869535625913,0.2,0.9,0.33,0.16666666666666666,50.78541666666666
TXN_004743,CUST_3952,2025-12-30 23:52:29.371933,404.08,Banking,Delhi,0,23,1,0,1,6.004084578464084,0,560.17,220.74459495081643,2,-0.703917946837086,0.9,0.9,0.74,0.08333333333333333,46.680833333333325
TXN_004522,CUST_1196,2025-12-18 15:07:29.371933,1181.26,Education,Bangalore,0,15,3,0,0,7.075183139936088,0,673.4333333333333,439.92313718800165,3,1.1517351298581064,0.1,0.7,0.24,0.125,84.17916666666666
TXN_006341,CUST_1471,2025-12-31 04:45:29.388199,159.83,Healthcare,Surat,0,4,2,0,1,5.080347906507556,0,159.83,0.0,1,0.0,0.2,0.2,0.32,0.041666666666666664,6.659583333333334
TXN_000577,CUST_8389,2026-01-01 23:37:29.339556,510.61,Transportation,Mumbai,0,23,3,0,1,6.237562616034376,0,456.65,76.3109638256522,2,0.6979605133585958,0.3,0.8,0.53,0.08333333333333333,38.05416666666666
TXN_005203,CUST_2677,2026-01-07 02:41:29.371933,468.46,Utilities,Pune,0,2,2,0,1,6.151583098000741,0,468.46,0.0,1,0.0,0.1,0.4,0.35,0.041666666666666664,19.519166666666663
TXN_006364,CUST_2595,2025-12-26 03:42:29.388199,798.88,Utilities,Kolkata,0,3,4,0,1,6.684461716416802,0,567.39,327.3762975537478,2,0.7049534382490268,0.1,0.6,0.41000000000000003,0.08333333333333333,47.2825
TXN_000440,CUST_4050,2025-12-14 21:03:29.339556,381.63,Entertainment,Surat,0,21,6,1,0,5.947068464805155,0,487.73,150.0480589677854,2,-0.7024254447561512,0.7,0.2,0.27,0.08333333333333333,40.64416666666666
TXN_002751,CUST_5241,2026-01-10 05:19:29.348759,2334.32,Transportation,Jaipur,0,5,5,1,1,7.755904205681074,1,1250.4950000000001,1532.7600142390197,2,0.7066457528805401,0.3,0.3,0.5800000000000001,0.08333333333333333,104.20791666666668
